rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
36,37,118837,792,1328,57.8559,38,29.04527,218.0100,9.44962,13.88602,5.70963,1
37,38,120957,792,1317,55.4385,39,28.02997,197.2579,8.86017,13.48620,5.68361,1
38,39,123066,785,1330,55.5111,38,27.72739,209.5324,9.01236,13.22811,5.48693,1
39,40,125181,801,1308,57.9788,40,29.46456,203.0900,9.23800,14.26020,5.96635,1
40,41,127290,779,1336,58.1643,39,28.72515,216.4833,9.17870,13.82036,5.72610,1
41,42,129405,774,1339,58.5334,40,28.75409,209.2870,8.92679,13.95291,5.87438,1
42,43,131518,794,1319,55.5963,39,28.14824,198.5318,8.92714,13.52687,5.69423,1
43,44,133631,798,1315,57.9215,40,29.36995,204.1345,9.22999,14.19409,5.94587,1
44,45,135744,771,1339,57.3488,39,28.10731,210.8244,8.87135,13.55703,5.67893,1
45,46,137854,794,1317,57.0154,38,28.76552,211.7775,9.31458,13.75687,5.69407,1
46,47,139965,790,1322,56.9083,38,28.57939,213.5976,9.28452,13.65060,5.64427,1
47,48,142077,786,1333,57.6654,38,28.76198,215.9522,9.28848,13.77868,5.69482,1
48,49,144196,774,1335,56.2843,40,27.76672,201.0735,8.65540,13.42248,5.68883,1
49,50,146305,782,1330,56.5971,39,28.13231,212.6096,9.08694,13.46170,5.58367,1
50,51,148417,768,1348,56.2916,39,27.50268,211.8685,8.79739,13.19866,5.50662,1
51,52,150533,800,1312,57.9102,40,29.43200,200.9224,9.17763,14.26002,5.99435,1
52,53,152645,796,1313,57.8070,39,29.23084,207.1854,9.26977,14.08759,5.87348,1
53,54,154754,766,1348,56.7653,39,27.65213,212.7397,8.80353,13.29279,5.55582,1
54,55,156868,793,1320,55.9166,39,28.26192,205.6358,9.10893,13.52210,5.63089,1
55,56,158981,775,1341,56.4908,40,27.85732,205.1561,8.76598,13.43840,5.65293,1
56,57,161097,777,1335,55.4197,40,27.47820,198.5017,8.61253,13.25694,5.60873,1
57,58,163209,799,1314,56.6656,39,28.78438,200.8557,9.09223,13.87891,5.81324,1
58,59,165322,791,1319,55.6581,39,28.05009,200.9902,8.92748,13.47905,5.64356,1
59,60,167432,789,1325,56.7681,39,28.45637,203.5614,8.97761,13.73008,5.74868,1
60,61,169546,792,1316,56.1016,39,28.28072,205.5463,9.07502,13.56326,5.64244,1
61,62,171654,785,1329,57.9904,40,28.85788,212.0667,9.16206,13.91687,5.77894,1
62,63,173768,794,1324,58.3864,39,29.40540,212.5463,9.38431,14.15913,5.86196,1
63,64,175886,790,1321,55.7918,41,28.09924,197.3539,8.82688,13.55020,5.72215,1
64,65,177997,779,1333,57.2423,40,28.34351,204.2282,8.84179,13.72173,5.77998,1
65,66,180109,779,1330,57.6398,39,28.51272,212.0432,9.05575,13.73541,5.72155,1
66,67,182218,784,1329,57.8517,39,28.78555,217.7950,9.30991,13.78787,5.68776,1
67,68,184331,767,1350,55.2111,38,27.01101,210.7627,8.72647,12.90144,5.38310,1
68,69,186448,799,1309,57.6308,40,29.24157,201.6873,9.15680,14.14587,5.93889,1
69,70,188556,768,1349,57.6077,39,28.10039,213.8377,8.89666,13.54834,5.65539,1
70,71,190673,761,1348,55.5766,41,26.98208,203.7195,8.45772,13.01309,5.51126,1
71,72,192782,779,1339,56.7919,39,28.13450,211.4019,9.01572,13.50394,5.61484,1
72,73,194900,775,1334,55.3882,40,27.38994,199.9757,8.61251,13.20111,5.57632,1
73,74,197009,797,1313,56.2298,38,28.48754,208.1719,9.22938,13.61976,5.63840,1
74,75,199119,764,1350,57.1796,38,27.72814,217.1606,8.86569,13.32915,5.53330,1
75,76,201233,760,1357,55.5894,38,26.89480,213.2878,8.65319,12.87789,5.36372,1
76,77,203350,798,1311,56.4500,40,28.67485,197.1024,8.97896,13.86012,5.83577,1
77,78,205459,765,1351,55.5716,39,27.07706,206.1538,8.56954,13.03367,5.47385,1
78,79,207575,795,1318,57.1638,39,28.84391,203.8863,9.10589,13.92317,5.81484,1
79,80,209688,797,1318,56.6967,39,28.72526,201.5769,9.07600,13.85118,5.79809,1
80,81,211803,796,1313,55.6795,40,28.24333,195.1592,8.86032,13.62971,5.75329,1
81,82,213912,797,1311,56.9161,39,28.83379,204.1601,9.15978,13.88566,5.78835,1
82,83,216020,783,1332,57.0758,39,28.35680,213.5195,9.12901,13.60054,5.62724,1
83,84,218135,770,1342,57.8595,39,28.25026,215.9208,8.97655,13.61575,5.65795,1
84,85,220247,764,1349,58.4335,40,28.30624,217.0525,8.91904,13.68055,5.70665,1
85,86,222360,771,1341,58.3930,39,28.59659,213.9488,8.99666,13.82305,5.77688,1
86,87,224472,768,1349,56.9684,38,27.81703,218.8396,9.00573,13.30053,5.51077,1
87,88,226589,781,1329,57.5761,40,28.61094,205.3814,8.94625,13.83891,5.82578,1
88,89,228699,778,1336,57.8367,39,28.59276,216.6079,9.18133,13.72134,5.69009,1
89,90,230813,765,1347,57.4534,41,27.98862,208.2454,8.72558,13.54486,5.71818,1
90,91,232925,784,1326,57.2981,40,28.59211,206.2421,9.01773,13.78761,5.78676,1
91,92,235035,765,1352,56.4255,38,27.49083,215.8663,8.86554,13.15209,5.47321,1
92,93,237152,777,1337,55.9898,40,27.72631,204.2048,8.77814,13.33937,5.60881,1
93,94,239266,789,1322,58.4580,41,29.28788,205.9394,9.12691,14.19890,5.96207,1
94,95,241377,786,1324,56.0116,38,28.02794,210.3377,9.09230,13.37888,5.55676,1
95,96,243487,800,1316,58.2718,39,29.58600,210.9683,9.46007,14.22811,5.89781,1
96,97,245603,783,1324,56.9176,40,28.34626,207.8337,9.00755,13.63624,5.70246,1
97,98,247710,770,1347,55.8074,38,27.37133,214.6335,8.89792,13.05554,5.41787,1
98,99,249827,781,1331,55.7619,40,27.73689,203.8154,8.81785,13.32915,5.58989,1
99,100,251939,772,1341,56.6435,39,27.83550,208.0048,8.79453,13.41806,5.62291,1
100,101,254052,794,1318,57.3073,39,28.89370,204.4116,9.11917,13.94380,5.83074,1
101,102,256164,771,1341,56.2529,39,27.59505,209.1785,8.78408,13.26462,5.54635,1
102,103,258276,769,1345,57.7338,39,28.18940,213.5000,8.90747,13.60551,5.67641,1
103,104,260390,763,1353,55.9324,39,27.21391,206.5072,8.57854,13.11276,5.52261,1
104,105,262506,795,1311,56.2999,39,28.48442,202.7793,9.07057,13.69246,5.72139,1
105,106,264612,766,1352,57.7482,40,28.05905,218.9852,8.97105,13.49328,5.59473,1
106,107,266730,784,1323,55.8424,41,27.90325,196.6892,8.69391,13.48816,5.72118,1
107,108,268837,782,1335,57.2327,39,28.41924,212.3342,9.09973,13.65342,5.66609,1
108,109,270954,777,1334,55.7730,40,27.61160,201.3261,8.68519,13.31338,5.61303,1
109,110,273065,794,1317,56.7475,39,28.63972,206.6760,9.16233,13.75685,5.72055,1
110,111,275176,799,1314,58.4918,38,29.60114,214.4969,9.51753,14.22185,5.86176,1
111,112,277289,787,1331,58.3400,38,29.13332,215.4453,9.33071,14.00599,5.79662,1
112,113,279407,797,1311,57.9828,40,29.36912,202.4506,9.17331,14.21545,5.98036,1
113,114,281515,763,1349,56.4954,38,27.41088,221.2804,8.94449,13.06467,5.40172,1
114,115,283627,768,1348,57.5179,38,28.03883,221.7744,9.08476,13.41320,5.54087,1
115,116,285743,797,1314,58.3175,39,29.50323,208.1212,9.33209,14.23389,5.93725,1
116,117,287854,783,1329,56.8070,40,28.30452,206.7795,8.98270,13.61638,5.70543,1
117,118,289966,777,1342,58.4784,39,28.82043,220.5996,9.27206,13.83184,5.71653,1
118,119,292085,791,1316,56.3765,41,28.42066,196.9863,8.86757,13.73205,5.82104,1
119,120,294192,763,1350,55.3710,39,26.95765,207.7176,8.59273,12.93036,5.43455,1
120,121,296305,777,1334,57.3914,39,28.31805,212.7694,9.02458,13.62110,5.67237,1
121,122,298416,773,1342,56.3348,39,27.72857,210.1036,8.86190,13.30919,5.55748,1
122,123,300531,774,1338,57.4657,39,28.26746,211.3150,8.94229,13.63012,5.69504,1
123,124,302643,762,1353,57.5666,39,27.88754,212.2131,8.74856,13.47963,5.65936,1
124,125,304758,782,1334,56.4604,40,28.10842,204.0220,8.87698,13.54221,5.68924,1
125,126,306874,788,1320,56.0680,41,28.17181,196.2691,8.77896,13.62095,5.77190,1
126,127,308982,770,1345,56.0236,40,27.47995,203.0257,8.61017,13.26781,5.60197,1
127,128,311097,781,1328,56.3003,40,27.97138,203.4888,8.82137,13.48682,5.66319,1
128,129,313206,782,1330,58.0001,40,28.78003,211.0238,9.09404,13.89648,5.78950,1
129,130,315318,763,1348,57.4317,40,27.82475,215.3174,8.82393,13.40695,5.59387,1
130,131,317429,796,1319,57.9123,39,29.25996,212.1900,9.39575,14.04972,5.81448,1
131,132,319544,781,1332,56.8317,38,28.24703,210.7372,9.05080,13.55369,5.64254,1
132,133,321657,784,1324,56.6394,38,28.25797,210.8103,9.09759,13.53567,5.62471,1
133,134,323765,779,1333,59.4664,39,29.33460,224.6505,9.44363,14.09502,5.79595,1
134,135,325877,773,1344,58.8448,38,28.84683,224.4509,9.31366,13.83304,5.70013,1
135,136,327994,770,1344,56.5734,38,27.74139,216.5799,8.98960,13.24958,5.50222,1
136,137,330108,773,1337,57.1553,39,28.09063,213.1721,8.96819,13.49298,5.62946,1
137,138,332218,783,1333,59.4287,37,29.47899,225.9438,9.56689,14.12076,5.79134,1
138,139,334334,788,1322,59.8706,41,29.94470,210.6134,9.30909,14.53458,6.10102,1
139,140,336444,794,1320,59.7447,38,30.08022,222.6194,9.73945,14.41219,5.92858,1
140,141,338558,773,1342,58.7217,39,28.85497,217.5734,9.17018,13.88811,5.79668,1
141,142,340673,790,1321,59.7066,41,29.94878,211.1460,9.36392,14.49982,6.08504,1
142,143,342784,777,1337,58.5557,39,28.95704,216.5888,9.23179,13.91684,5.80841,1
143,144,344898,777,1336,58.9118,40,29.10399,212.9072,9.13995,14.05749,5.90655,1
144,145,347011,785,1327,57.9847,40,29.00212,212.5153,9.26286,13.92177,5.81748,1
145,146,349123,790,1323,60.6014,40,30.36369,217.6425,9.57643,14.67597,6.11129,1
146,147,351236,760,1353,58.6573,41,28.40865,213.6044,8.84806,13.74492,5.81566,1
