rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
23,24,94875,770,1337,56.9133,39,27.91160,210.5838,8.85511,13.43036,5.62613,1
24,25,96982,794,1323,57.4967,37,28.97570,220.6088,9.55841,13.77251,5.64478,1
25,26,99099,783,1327,58.6108,40,29.13620,214.3049,9.24565,14.04694,5.84361,1
26,27,101209,765,1346,58.5655,39,28.46718,218.6162,9.02068,13.72434,5.72216,1
27,28,103320,795,1323,59.3376,38,29.88660,218.6298,9.61172,14.35208,5.92280,1
28,29,105438,800,1311,59.0424,39,29.99556,209.2288,9.47052,14.47710,6.04794,1
29,30,107549,786,1324,57.3005,38,28.70810,210.7470,9.19792,13.76306,5.74712,1
30,31,109659,789,1327,59.1522,38,29.61790,218.0563,9.49139,14.23015,5.89636,1
31,32,111775,788,1322,56.5930,39,28.44385,205.6863,9.07635,13.64421,5.72329,1
32,33,113885,798,1312,59.1344,38,29.92141,223.0655,9.78990,14.27988,5.85164,1
33,34,115995,786,1330,57.2107,37,28.59560,222.9779,9.47740,13.55245,5.56574,1
34,35,118111,769,1345,57.4099,38,28.06692,221.7270,9.12485,13.39878,5.54328,1
35,36,120225,800,1310,58.7107,39,29.81744,210.8357,9.49254,14.35270,5.97221,1
36,37,122335,794,1319,57.3201,37,28.93359,220.0268,9.55998,13.73189,5.64172,1
37,38,124448,796,1319,58.9378,38,29.75108,222.0663,9.71389,14.20717,5.83001,1
38,39,126563,791,1324,58.3536,38,29.31957,215.1905,9.42319,14.06284,5.83354,1
39,40,128678,784,1323,57.6709,40,28.77906,209.1615,9.12082,13.85285,5.80538,1
40,41,130785,764,1348,57.8994,38,28.11530,225.6126,9.14719,13.42468,5.54344,1
41,42,132897,796,1319,57.7274,38,29.21518,217.7046,9.56500,13.91775,5.73243,1
42,43,135012,799,1311,58.5781,38,29.69250,216.9404,9.62161,14.20854,5.86235,1
43,44,137122,769,1344,59.0971,37,28.81819,233.2113,9.46390,13.73166,5.62263,1
44,45,139235,771,1348,58.7002,38,28.72059,225.6174,9.31025,13.73979,5.67055,1
45,46,141354,792,1312,56.8265,39,28.70385,203.7524,9.11267,13.79384,5.79734,1
46,47,143458,782,1333,58.5961,37,29.06814,228.0202,9.57320,13.83053,5.66441,1
47,48,145573,766,1350,57.1236,37,27.80723,227.9178,9.19450,13.18866,5.42408,1
48,49,147689,781,1329,57.0888,37,28.36390,217.5601,9.23790,13.52840,5.59760,1
49,50,149799,796,1317,57.8304,37,29.22670,222.2538,9.66843,13.87675,5.68151,1
50,51,151912,793,1317,58.0905,37,29.23920,220.7922,9.57940,13.93451,5.72528,1
51,52,154022,765,1352,58.5388,37,28.39455,232.4969,9.33482,13.52139,5.53834,1
52,53,156139,779,1334,58.3607,40,28.91057,213.6375,9.16341,13.92988,5.81729,1
53,54,158252,799,1310,58.2271,39,29.58329,212.2051,9.50626,14.18736,5.88967,1
54,55,160361,769,1348,57.6500,38,28.17570,222.0152,9.14175,13.46215,5.57180,1
55,56,162478,786,1325,57.8843,38,28.92858,213.8460,9.27736,13.87889,5.77233,1
56,57,164589,798,1316,58.5948,38,29.66996,219.9471,9.68672,14.16200,5.82123,1
57,58,166703,783,1330,56.8773,38,28.35573,214.7637,9.20776,13.53276,5.61520,1
58,59,168816,788,1325,58.4913,40,29.29135,212.5080,9.30594,14.10568,5.87972,1
59,60,170929,796,1312,56.6391,38,28.69921,214.0520,9.41915,13.64413,5.63592,1
60,61,173037,792,1320,57.2086,37,28.79827,219.7643,9.50200,13.67715,5.61911,1
61,62,175149,774,1341,57.5608,38,28.29640,225.1525,9.29779,13.46679,5.53182,1
62,63,177264,764,1347,57.3633,38,27.86550,219.4401,8.96622,13.35286,5.54642,1
63,64,179375,773,1345,57.4150,38,28.18046,223.1130,9.21626,13.43264,5.53156,1
64,65,181493,775,1337,56.5777,39,27.90861,212.5623,8.97229,13.36606,5.57025,1
65,66,183605,794,1315,58.2693,39,29.36804,210.8858,9.34796,14.14066,5.87942,1
66,67,185714,783,1330,59.4369,39,29.50557,218.5790,9.38742,14.22427,5.89388,1
67,68,187827,768,1341,56.7780,38,27.76848,219.7251,9.04343,13.24057,5.48448,1
68,69,189936,775,1342,58.4853,36,28.71310,231.9398,9.50132,13.64281,5.56897,1
69,70,192053,788,1321,57.0649,37,28.58271,220.3437,9.43234,13.57015,5.58023,1
70,71,194162,769,1344,58.1941,36,28.40584,229.2098,9.32479,13.53055,5.55051,1
71,72,196275,764,1350,58.9511,37,28.53172,234.8365,9.38251,13.59254,5.55667,1
72,73,198389,779,1337,58.8452,38,29.06149,229.4138,9.55245,13.84065,5.66839,1
73,74,200505,789,1322,57.7279,38,28.94892,218.5810,9.44419,13.80405,5.70068,1
74,75,202616,784,1328,58.9313,37,29.29396,225.7668,9.57019,13.98312,5.74065,1
75,76,204728,768,1347,58.9856,39,28.77318,223.3912,9.21997,13.82187,5.73135,1
76,77,206843,790,1323,58.3429,38,29.29270,215.6296,9.42446,14.04004,5.82820,1
77,78,208956,785,1329,57.8995,38,28.91260,220.2119,9.43324,13.78753,5.69182,1
78,79,211070,798,1310,59.1572,39,29.96723,216.5228,9.63289,14.38224,5.95210,1
79,80,213178,763,1355,57.0349,37,27.68057,228.7503,9.16704,13.11643,5.39710,1
80,81,215296,773,1336,57.6481,39,28.37292,212.8671,9.00881,13.64872,5.71540,1
81,82,217405,782,1336,58.7627,38,29.19073,216.9686,9.32017,14.03815,5.83241,1
82,83,219523,792,1316,56.9466,39,28.73243,208.4802,9.22724,13.76250,5.74268,1
83,84,221631,780,1332,57.6003,37,28.54043,221.0651,9.31922,13.60731,5.61391,1
84,85,223743,784,1331,57.4801,39,28.63795,217.9004,9.31285,13.67349,5.65160,1
85,86,225858,789,1323,57.0892,38,28.64236,215.4594,9.33039,13.66042,5.65155,1
86,87,227970,767,1346,58.5718,39,28.52943,217.2057,9.01686,13.76597,5.74660,1
87,88,230083,797,1316,58.3635,38,29.52748,220.6067,9.67426,14.07558,5.77763,1
88,89,232196,795,1311,57.4329,38,29.04261,214.1168,9.44035,13.86658,5.73568,1
89,90,234302,774,1340,58.6944,38,28.80399,230.8061,9.47815,13.71480,5.61104,1
90,91,236416,772,1345,59.2763,38,28.99548,231.3504,9.47926,13.84347,5.67274,1
91,92,238533,759,1355,56.6702,38,27.41497,218.2658,8.84421,13.10719,5.46358,1
92,93,240647,774,1341,56.5727,37,27.88358,219.5022,9.14007,13.26167,5.48185,1
93,94,242762,791,1318,56.6781,38,28.53977,209.5782,9.20748,13.65342,5.67888,1
94,95,244871,778,1335,58.1346,39,28.71015,215.5648,9.15561,13.81055,5.74399,1
95,96,246984,772,1338,58.0908,38,28.48942,221.3514,9.19788,13.64920,5.64235,1
96,97,249094,797,1320,58.7810,38,29.71269,219.4999,9.65873,14.21092,5.84303,1
97,98,251211,795,1314,56.9109,39,28.79606,206.4601,9.21367,13.81262,5.76976,1
98,99,253320,778,1338,56.8621,37,28.14087,220.7102,9.24543,13.37934,5.51610,1
99,100,255436,781,1331,56.8537,40,28.28145,207.9049,8.99032,13.59859,5.69254,1
100,101,257548,766,1348,57.4611,39,27.98830,214.6877,8.89097,13.47097,5.62635,1
101,102,259662,771,1337,57.8402,39,28.33044,213.3855,8.95890,13.66083,5.71070,1
102,103,261770,771,1343,56.5783,38,27.73416,223.0306,9.14097,13.17203,5.42116,1
103,104,263884,803,1307,59.1484,36,30.07072,225.0903,9.91587,14.31986,5.83499,1
104,105,265994,772,1339,57.3066,36,28.09972,227.8213,9.30992,13.32815,5.46164,1
105,106,268105,770,1345,56.9549,36,27.87598,227.1041,9.24293,13.21369,5.41936,1
106,107,270220,769,1347,58.8374,39,28.71564,219.6939,9.12476,13.84052,5.75036,1
107,108,272336,794,1317,59.4108,39,29.90134,213.3980,9.46163,14.43471,6.00501,1
108,109,274447,763,1347,58.8178,40,28.51210,220.0322,9.03198,13.74467,5.73545,1
109,110,276557,773,1344,56.8883,36,27.99007,225.2680,9.27398,13.26228,5.45381,1
110,111,278674,786,1327,58.5439,40,29.23640,214.5495,9.31945,14.06464,5.85231,1
111,112,280787,793,1318,59.1740,38,29.75312,219.2646,9.59379,14.26896,5.89037,1
112,113,282898,784,1332,59.3820,37,29.49976,230.1546,9.69958,14.05275,5.74743,1
113,114,285014,763,1347,57.6359,39,28.02333,217.1693,8.94076,13.45443,5.62815,1
114,115,287124,770,1342,59.4131,39,29.03203,223.8361,9.28381,13.96102,5.78719,1
115,116,289236,794,1323,56.9271,38,28.78231,215.6224,9.44722,13.67935,5.65574,1
116,117,291353,786,1322,57.8122,38,28.89700,213.6266,9.27066,13.85762,5.76872,1
117,118,293461,792,1320,59.1897,37,29.72129,225.2606,9.72785,14.17939,5.81405,1
118,119,295573,800,1319,58.9597,38,29.92676,223.8424,9.84828,14.24429,5.83419,1
119,120,297692,786,1321,57.9159,40,28.96100,212.2812,9.24717,13.90702,5.80680,1
120,121,299799,764,1355,58.2471,39,28.30546,217.4257,8.97267,13.62866,5.70413,1
121,122,301918,784,1323,56.9895,40,28.48444,208.4010,9.08597,13.67052,5.72795,1
122,123,304025,777,1334,59.3760,39,29.26534,222.2121,9.37035,14.06895,5.82604,1
123,124,306136,785,1335,58.1985,37,29.01630,226.0646,9.57974,13.78445,5.65211,1
124,125,308256,795,1314,58.4108,39,29.53919,209.2035,9.36811,14.22556,5.94551,1
125,126,310365,793,1320,58.2844,39,29.38579,213.7985,9.43485,14.09564,5.85529,1
126,127,312478,791,1323,57.6682,37,29.00366,220.3263,9.53202,13.79204,5.67959,1
127,128,314592,783,1332,57.5739,40,28.69234,211.3784,9.15167,13.78294,5.75773,1
128,129,316707,796,1309,58.2725,39,29.51383,207.2347,9.32534,14.23038,5.95811,1
129,130,318812,780,1337,57.7915,39,28.67515,218.7512,9.29196,13.70877,5.67442,1
130,131,320929,796,1316,57.5067,38,29.12123,212.9825,9.43540,13.91868,5.76715,1
131,132,323041,801,1309,58.7754,38,29.86554,216.1263,9.64622,14.30932,5.91000,1
132,133,325151,783,1326,57.4958,37,28.61139,220.4891,9.36494,13.62696,5.61949,1
133,134,327260,768,1354,60.0720,38,29.23017,230.4049,9.42058,14.03405,5.77554,1
134,135,329382,798,1309,57.8027,39,29.34813,207.7088,9.35314,14.09988,5.89512,1
135,136,331489,769,1349,58.2464,38,28.45954,225.8857,9.26895,13.58621,5.60437,1
136,137,333607,802,1304,60.0678,39,30.52995,215.2136,9.70583,14.71768,6.10643,1
137,138,335713,794,1326,60.7105,38,30.51852,228.2241,9.92008,14.61110,5.98734,1
138,139,337833,797,1309,58.7746,39,29.81487,210.1742,9.46587,14.34642,6.00259,1
139,140,339939,770,1341,59.6311,38,29.12925,228.6820,9.41864,13.95030,5.76031,1
140,141,342050,767,1347,59.9653,37,29.15779,238.9549,9.61820,13.86915,5.67045,1
141,142,344164,791,1325,60.6796,37,30.42311,233.6336,10.01853,14.48704,5.91753,1
142,143,346280,774,1340,59.6600,39,29.37061,220.2065,9.32132,14.14017,5.90912,1
143,144,348394,778,1334,60.5729,40,29.93497,221.2076,9.45627,14.44688,6.03181,1
144,145,350506,770,1342,60.8995,39,29.77612,224.8251,9.40689,14.37263,5.99660,1
145,146,352618,784,1328,59.8291,38,29.82133,224.0966,9.63114,14.27480,5.91539,1
146,147,354730,774,1339,60.9759,39,29.96190,229.1568,9.60163,14.39630,5.96398,1
