rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
33,34,113890,778,1340,61.2053,36,30.16204,247.5786,10.11667,14.26417,5.78120,1
34,35,116008,795,1316,60.8631,38,30.70382,228.4453,10.00054,14.66846,6.03482,1
35,36,118119,786,1322,60.1068,37,30.03588,229.4364,9.82568,14.31417,5.89603,1
36,37,120227,776,1343,60.5140,36,29.78176,247.3923,10.04409,14.03985,5.69782,1
37,38,122346,778,1334,59.1544,37,29.29482,227.8625,9.58682,13.94370,5.76429,1
38,39,124458,787,1322,60.9504,39,30.42089,231.0263,9.89626,14.54218,5.98244,1
39,40,126567,764,1348,59.8011,37,29.05800,235.9434,9.52729,13.83362,5.69708,1
40,41,128679,767,1341,59.0997,36,28.83689,235.6305,9.54313,13.67179,5.62197,1
41,42,130787,769,1348,60.8717,35,29.65297,250.4707,9.97541,14.00135,5.67621,1
42,43,132904,770,1344,60.4922,37,29.54290,241.9022,9.79361,14.01915,5.73014,1
43,44,135018,799,1317,60.2320,36,30.52983,231.8895,10.12813,14.47983,5.92187,1
44,45,137134,767,1345,59.5902,38,29.05442,230.2145,9.43039,13.87681,5.74723,1
45,46,139246,785,1325,60.5375,37,30.17736,230.9697,9.85204,14.40211,5.92321,1
46,47,141356,794,1317,60.5197,35,30.45331,242.5866,10.29136,14.34387,5.81808,1
47,48,143467,770,1349,60.5737,37,29.56460,246.5925,9.89613,13.97756,5.69091,1
48,49,145586,786,1323,59.2797,37,29.62173,229.2080,9.77062,14.06319,5.78791,1
49,50,147695,791,1324,60.6263,38,30.42506,229.5626,9.92573,14.52308,5.97625,1
50,51,149810,789,1318,59.6985,38,29.93596,226.3580,9.77399,14.27031,5.89165,1
51,52,151917,785,1327,61.2873,36,30.45647,246.6015,10.23641,14.38989,5.83017,1
52,53,154029,792,1321,60.1038,36,30.18527,242.9969,10.24147,14.18794,5.75585,1
53,54,156142,771,1348,60.5871,37,29.62605,247.0761,9.93780,13.99509,5.69316,1
54,55,158261,797,1310,59.7415,38,30.26704,223.4143,9.86832,14.43470,5.96403,1
55,56,160368,784,1333,60.0689,36,29.87274,245.4427,10.13446,14.04265,5.69562,1
56,57,162485,780,1329,59.7344,37,29.61575,229.5456,9.68219,14.11278,5.82078,1
57,58,164594,800,1317,59.8010,35,30.36153,237.9786,10.27675,14.28422,5.80056,1
58,59,166711,793,1316,59.6916,38,30.09026,223.4311,9.78434,14.36786,5.93807,1
59,60,168820,796,1315,60.8147,37,30.67714,236.4487,10.20143,14.54880,5.92691,1
60,61,170931,766,1350,59.0418,35,28.73186,242.4965,9.65756,13.54359,5.53071,1
61,62,173047,762,1355,59.1876,37,28.67309,240.5699,9.55399,13.56677,5.55232,1
62,63,175164,797,1314,59.2373,38,30.00782,222.2211,9.80091,14.30358,5.90332,1
63,64,177275,779,1332,60.3784,37,29.82863,231.4692,9.70935,14.25197,5.86730,1
64,65,179386,786,1326,60.8672,39,30.34188,229.7513,9.83863,14.52355,5.97970,1
65,66,181498,793,1319,60.8116,35,30.53962,241.7017,10.25748,14.42648,5.85566,1
66,67,183610,801,1309,61.0173,35,30.96398,241.2465,10.43321,14.61092,5.91985,1
67,68,185720,767,1347,58.8970,37,28.72827,240.0977,9.62975,13.55052,5.54800,1
68,69,187834,798,1317,59.1002,35,29.93665,235.7071,10.13464,14.07384,5.72816,1
69,70,189949,776,1336,59.0559,36,29.13924,233.8295,9.66803,13.80761,5.66360,1
70,71,192061,768,1340,60.7271,38,29.58033,237.9302,9.66523,14.11946,5.79564,1
71,72,194169,777,1338,60.7891,35,29.91759,250.6175,10.13873,14.08572,5.69314,1
72,73,196284,768,1346,59.8205,38,29.21076,234.9488,9.58013,13.90712,5.72351,1
73,74,198398,775,1341,60.1693,36,29.57266,241.5267,9.86579,13.99843,5.70844,1
74,75,200514,801,1307,60.8347,36,30.88956,235.0350,10.27604,14.64610,5.96743,1
75,76,202622,768,1346,60.4639,38,29.49911,237.6224,9.66964,14.05420,5.77527,1
76,77,204736,762,1351,60.1720,37,29.10975,241.9600,9.62922,13.81991,5.66062,1
77,78,206849,769,1346,58.9158,36,28.81730,234.3656,9.54000,13.65816,5.61913,1
78,79,208964,784,1329,61.0352,37,30.34298,236.4433,9.97880,14.45264,5.91154,1
79,80,211077,788,1317,59.6961,38,29.91858,226.9823,9.78078,14.25642,5.88138,1
80,81,213182,773,1346,61.2520,35,29.97869,250.8890,10.08402,14.15925,5.73541,1
81,82,215301,769,1341,61.2450,38,29.88002,236.5644,9.69430,14.29690,5.88882,1
82,83,217411,763,1353,59.7807,37,28.96507,240.0414,9.58555,13.73988,5.63963,1
83,84,219527,780,1329,60.4278,37,29.93705,232.2447,9.78109,14.27676,5.87921,1
84,85,221636,762,1356,59.8294,35,28.96179,246.3868,9.71845,13.66912,5.57422,1
85,86,223754,800,1306,60.5606,36,30.75771,231.1370,10.16037,14.61438,5.98295,1
86,87,225860,768,1350,60.1283,37,29.32211,245.5172,9.82941,13.84837,5.64433,1
87,88,227978,797,1313,60.5963,37,30.63433,234.1433,10.16726,14.53151,5.93555,1
88,89,230088,795,1322,60.0851,37,30.32341,234.1265,10.10382,14.35400,5.86559,1
89,90,232205,794,1314,60.8434,38,30.68248,226.2784,9.93706,14.68453,6.06089,1
90,91,234313,767,1347,60.8620,37,29.60064,242.0219,9.75507,14.07881,5.76677,1
91,92,236427,797,1313,61.2085,37,30.90989,235.2418,10.21797,14.68973,6.00219,1
92,93,238537,767,1346,60.3459,37,29.41605,239.7609,9.70480,13.97385,5.73740,1
93,94,240650,776,1335,59.9318,36,29.53864,241.0699,9.88614,13.95373,5.69876,1
94,95,242761,775,1342,59.1372,35,29.13539,243.6462,9.88447,13.68073,5.57019,1
95,96,244878,766,1346,59.9137,37,29.14558,240.1322,9.65509,13.82587,5.66461,1
96,97,246990,801,1309,60.5827,36,30.78144,231.7703,10.18521,14.61884,5.97739,1
97,98,249100,764,1348,59.1829,35,28.70189,248.4596,9.75101,13.47331,5.47757,1
98,99,251212,761,1349,59.0691,35,28.57599,243.4603,9.59200,13.47956,5.50442,1
99,100,253322,768,1351,60.6800,35,29.52804,252.8479,10.00047,13.90487,5.62270,1
100,101,255441,778,1338,60.1556,36,29.68028,241.2773,9.91951,14.03953,5.72123,1
101,102,257557,795,1313,59.6053,37,30.09480,228.2119,9.92827,14.29622,5.87030,1
102,103,259665,794,1324,61.2169,35,30.76365,243.0928,10.32901,14.54088,5.89377,1
103,104,261783,785,1326,59.4849,38,29.69541,226.1265,9.68518,14.15953,5.85070,1
104,105,263894,789,1321,60.0006,38,30.07474,226.6146,9.79252,14.35680,5.92542,1
105,106,266004,782,1334,60.8435,37,30.16538,233.5009,9.84890,14.40053,5.91595,1
106,107,268120,786,1326,59.2346,38,29.64135,223.1348,9.63184,14.14663,5.86289,1
107,108,270232,791,1319,61.0896,37,30.64120,234.3869,10.07275,14.59502,5.97343,1
108,109,272342,786,1328,59.6554,36,29.76164,241.8301,10.07565,13.99718,5.68881,1
109,110,274456,781,1334,61.1939,37,30.30454,234.4321,9.87496,14.48063,5.94893,1
110,111,276571,784,1328,59.9483,39,29.89314,227.9819,9.74353,14.26219,5.88742,1
111,112,278683,777,1330,61.2379,37,30.21141,232.4888,9.76299,14.47505,5.97336,1
112,113,280790,769,1346,60.1396,37,29.35140,244.2330,9.81470,13.87323,5.66346,1
113,114,282905,791,1324,59.5545,37,29.94090,232.3758,9.96150,14.17068,5.80872,1
114,115,285020,789,1324,59.2729,37,29.71911,233.0508,9.91591,14.05049,5.75272,1
115,116,287133,778,1333,60.4457,37,29.85442,233.1709,9.75476,14.24147,5.85818,1
116,117,289244,771,1343,60.6885,36,29.69123,239.0836,9.76280,14.13607,5.79236,1
117,118,291358,793,1317,59.8272,38,30.16208,226.4075,9.87126,14.36934,5.92147,1
118,119,293468,777,1340,58.9599,36,29.11320,240.9948,9.84356,13.69043,5.57921,1
119,120,295585,780,1332,60.9190,37,30.12919,233.1390,9.80303,14.40269,5.92348,1
120,121,297697,774,1335,59.2227,38,29.14424,231.2883,9.57810,13.85703,5.70910,1
121,122,299806,789,1323,61.2985,36,30.59905,244.3090,10.25654,14.47587,5.86663,1
122,123,301918,780,1330,59.8463,36,29.62873,244.3126,10.02151,13.94198,5.66523,1
123,124,304028,774,1344,61.1437,36,29.99157,247.1420,10.02837,14.19678,5.76642,1
124,125,306146,779,1332,60.4580,36,29.87971,240.6020,9.95019,14.15197,5.77754,1
125,126,308257,764,1347,60.0078,38,29.15614,236.2340,9.54607,13.88874,5.72132,1
126,127,310368,800,1315,60.7945,37,30.83702,238.2760,10.33671,14.57560,5.92471,1
127,128,312483,783,1328,59.6684,36,29.66120,243.3675,10.05292,13.94033,5.66795,1
128,129,314594,775,1341,61.5722,36,30.20299,248.4598,10.08853,14.30707,5.80738,1
129,130,316710,792,1322,60.4266,38,30.40560,228.6158,9.93543,14.49763,5.97254,1
130,131,318824,795,1314,59.5871,37,30.10501,231.9561,10.03507,14.23904,5.83090,1
131,132,320933,787,1323,61.3256,36,30.56590,244.5740,10.24124,14.45732,5.86734,1
132,133,323043,794,1325,61.5947,35,30.96197,244.5477,10.39678,14.63091,5.93428,1
133,134,325162,788,1321,60.3738,38,30.25732,227.0509,9.82797,14.45127,5.97808,1
134,135,327271,773,1338,60.8177,38,29.83846,235.9357,9.74486,14.23443,5.85918,1
135,136,329382,786,1326,61.2887,36,30.52240,249.1618,10.33281,14.37201,5.81758,1
136,137,331494,790,1326,61.5335,36,30.78956,248.3939,10.41196,14.50603,5.87157,1
137,138,333610,779,1336,61.5490,36,30.41524,244.0133,10.10233,14.42641,5.88651,1
138,139,335725,776,1334,61.9113,38,30.48578,238.4205,9.93152,14.56499,5.98927,1
139,140,337835,801,1313,62.1137,35,31.49426,248.3276,10.67579,14.82594,5.99253,1
140,141,339949,790,1320,61.9840,37,31.04754,239.5083,10.24394,14.76206,6.04154,1
141,142,342059,771,1341,62.7691,37,30.65930,256.0703,10.27460,14.50154,5.88316,1
142,143,344171,804,1307,63.1481,37,32.12695,248.0381,10.79662,15.18211,6.14821,1
143,144,346282,780,1336,61.6773,36,30.54004,250.8779,10.31041,14.38122,5.84841,1
144,145,348398,783,1334,63.2491,37,31.38990,247.6815,10.37434,14.92663,6.08892,1
145,146,350515,797,1312,62.0712,38,31.43118,233.1866,10.27032,14.98601,6.17485,1
146,147,352624,765,1348,63.3440,37,30.72746,249.6900,10.05189,14.66403,6.01154,1
